invoice_number,customer_name,customer_gstin,date,due_date,status,subtotal,gst_rate,gst_amount,total,items_json,notes,payment_link
INV-202512-0011,Saas Client 5,29AABCU0005R1ZB,2025-12-29,2026-02-12,sent,22930,18.0,4127.4,27057.4,"[{""description"": ""Annual Sub Product 8"", ""quantity"": 6, ""unit_price"": 600, ""sku"": ""SKU-SAAS-008""}, {""description"": ""Monthly Sub Product 2"", ""quantity"": 10, ""unit_price"": 1933, ""sku"": ""SKU-SAAS-002""}]",Thank you for your business.,https://paytm.me/finai/inv-202512-0011
INV-202602-0012,Saas Client 11,29AABCU0011R1ZA,2026-02-16,2026-04-17,sent,13120,18.0,2361.6,15481.6,"[{""description"": ""Setup Fee Product 7"", ""quantity"": 8, ""unit_price"": 1640, ""sku"": ""SKU-SAAS-007""}]",Thank you for your business.,https://paytm.me/finai/inv-202602-0012
INV-202602-0013,Saas Client 9,29AABCU0009R1ZC,2026-02-13,2026-03-15,draft,9611,18.0,1729.98,11340.98,"[{""description"": ""Annual Sub Product 6"", ""quantity"": 7, ""unit_price"": 1373, ""sku"": ""SKU-SAAS-006""}]",Thank you for your business.,https://paytm.me/finai/inv-202602-0013
INV-202512-0014,Saas Client 4,29AABCU0004R1ZC,2025-12-31,2026-02-14,sent,30528,18.0,5495.04,36023.04,"[{""description"": ""Annual Sub Product 6"", ""quantity"": 9, ""unit_price"": 1373, ""sku"": ""SKU-SAAS-006""}, {""description"": ""Monthly Sub Product 2"", ""quantity"": 8, ""unit_price"": 1933, ""sku"": ""SKU-SAAS-002""}, {""description"": ""Monthly Sub Flagship (Hero)"", ""quantity"": 1, ""unit_price"": 2707, ""sku"": ""SKU-SAAS-001""}]",Thank you for your business.,https://paytm.me/finai/inv-202512-0014
INV-202601-0015,Saas Client 9,29AABCU0009R1ZC,2026-01-29,2026-02-28,paid,64883,18.0,11678.94,76561.94,"[{""description"": ""Annual Sub Product 4"", ""quantity"": 7, ""unit_price"": 2920, ""sku"": ""SKU-SAAS-004""}, {""description"": ""Add-on Product 3"", ""quantity"": 9, ""unit_price"": 2387, ""sku"": ""SKU-SAAS-003""}, {""description"": ""Setup Fee Product 7"", ""quantity"": 8, ""unit_price"": 1640, ""sku"": ""SKU-SAAS-007""}, {""description"": ""Setup Fee Product 7"", ""quantity"": 6, ""unit_price"": 1640, ""sku"": ""SKU-SAAS-007""}]",Thank you for your business.,https://paytm.me/finai/inv-202601-0015
INV-202603-0016,Saas Client 5,29AABCU0005R1ZB,2026-03-08,2026-04-22,draft,28348,18.0,5102.64,33450.64,"[{""description"": ""Add-on Product 3"", ""quantity"": 9, ""unit_price"": 2387, ""sku"": ""SKU-SAAS-003""}, {""description"": ""Annual Sub Product 6"", ""quantity"": 5, ""unit_price"": 1373, ""sku"": ""SKU-SAAS-006""}]",Thank you for your business.,https://paytm.me/finai/inv-202603-0016
INV-202602-0017,Saas Client 9,29AABCU0009R1ZC,2026-02-19,2026-03-21,sent,7695,18.0,1385.1,9080.1,"[{""description"": ""Setup Fee Product 5"", ""quantity"": 10, ""unit_price"": 313, ""sku"": ""SKU-SAAS-005""}, {""description"": ""Setup Fee Product 5"", ""quantity"": 5, ""unit_price"": 313, ""sku"": ""SKU-SAAS-005""}, {""description"": ""Annual Sub Product 8"", ""quantity"": 5, ""unit_price"": 600, ""sku"": ""SKU-SAAS-008""}]",Thank you for your business.,https://paytm.me/finai/inv-202602-0017
INV-202603-0018,Saas Client 6,29AABCU0006R1ZB,2026-03-01,2026-03-16,paid,52429,18.0,9437.22,61866.22,"[{""description"": ""Annual Sub Product 8"", ""quantity"": 10, ""unit_price"": 600, ""sku"": ""SKU-SAAS-008""}, {""description"": ""Annual Sub Product 8"", ""quantity"": 5, ""unit_price"": 600, ""sku"": ""SKU-SAAS-008""}, {""description"": ""Annual Sub Product 6"", ""quantity"": 6, ""unit_price"": 1373, ""sku"": ""SKU-SAAS-006""}, {""description"": ""Monthly Sub Flagship (Hero)"", ""quantity"": 5, ""unit_price"": 2707, ""sku"": ""SKU-SAAS-001""}, {""description"": ""Monthly Sub Flagship (Hero)"", ""quantity"": 8, ""unit_price"": 2707, ""sku"": ""SKU-SAAS-001""}]",Thank you for your business.,https://paytm.me/finai/inv-202603-0018
INV-202601-0019,Saas Client 10,29AABCU0010R1ZB,2026-01-08,2026-01-23,sent,33920,18.0,6105.6,40025.6,"[{""description"": ""Setup Fee Product 7"", ""quantity"": 4, ""unit_price"": 1640, ""sku"": ""SKU-SAAS-007""}, {""description"": ""Setup Fee Product 7"", ""quantity"": 6, ""unit_price"": 1640, ""sku"": ""SKU-SAAS-007""}, {""description"": ""Annual Sub Product 4"", ""quantity"": 6, ""unit_price"": 2920, ""sku"": ""SKU-SAAS-004""}]",Thank you for your business.,https://paytm.me/finai/inv-202601-0019
INV-202601-0020,Saas Client 8,29AABCU0008R1ZA,2026-01-28,2026-03-14,overdue,26917,18.0,4845.06,31762.06,"[{""description"": ""Add-on Product 3"", ""quantity"": 3, ""unit_price"": 2387, ""sku"": ""SKU-SAAS-003""}, {""description"": ""Setup Fee Product 7"", ""quantity"": 2, ""unit_price"": 1640, ""sku"": ""SKU-SAAS-007""}, {""description"": ""Annual Sub Product 6"", ""quantity"": 9, ""unit_price"": 1373, ""sku"": ""SKU-SAAS-006""}, {""description"": ""Annual Sub Product 6"", ""quantity"": 3, ""unit_price"": 1373, ""sku"": ""SKU-SAAS-006""}]",Thank you for your business.,https://paytm.me/finai/inv-202601-0020
INV-202603-0021,Saas Client 6,29AABCU0006R1ZB,2026-03-20,2026-04-04,sent,26661,18.0,4798.98,31459.98,"[{""description"": ""Annual Sub Product 8"", ""quantity"": 3, ""unit_price"": 600, ""sku"": ""SKU-SAAS-008""}, {""description"": ""Monthly Sub Flagship (Hero)"", ""quantity"": 8, ""unit_price"": 2707, ""sku"": ""SKU-SAAS-001""}, {""description"": ""Setup Fee Product 7"", ""quantity"": 1, ""unit_price"": 1640, ""sku"": ""SKU-SAAS-007""}, {""description"": ""Setup Fee Product 5"", ""quantity"": 5, ""unit_price"": 313, ""sku"": ""SKU-SAAS-005""}]",Thank you for your business.,https://paytm.me/finai/inv-202603-0021
INV-202602-0022,Saas Client 13,29AABCU0013R1ZA,2026-02-07,2026-02-22,paid,15553,18.0,2799.54,18352.54,"[{""description"": ""Setup Fee Product 7"", ""quantity"": 3, ""unit_price"": 1640, ""sku"": ""SKU-SAAS-007""}, {""description"": ""Annual Sub Product 8"", ""quantity"": 9, ""unit_price"": 600, ""sku"": ""SKU-SAAS-008""}, {""description"": ""Setup Fee Product 7"", ""quantity"": 3, ""unit_price"": 1640, ""sku"": ""SKU-SAAS-007""}, {""description"": ""Setup Fee Product 5"", ""quantity"": 1, ""unit_price"": 313, ""sku"": ""SKU-SAAS-005""}]",Thank you for your business.,https://paytm.me/finai/inv-202602-0022
INV-202601-0023,Saas Client 14,29AABCU0014R1ZC,2026-01-12,2026-03-13,draft,31772,18.0,5718.96,37490.96,"[{""description"": ""Annual Sub Product 6"", ""quantity"": 4, ""unit_price"": 1373, ""sku"": ""SKU-SAAS-006""}, {""description"": ""Annual Sub Product 4"", ""quantity"": 9, ""unit_price"": 2920, ""sku"": ""SKU-SAAS-004""}]",Thank you for your business.,https://paytm.me/finai/inv-202601-0023
INV-202603-0024,Saas Client 10,29AABCU0010R1ZB,2026-03-17,2026-04-01,paid,17654,18.0,3177.72,20831.72,"[{""description"": ""Monthly Sub Flagship (Hero)"", ""quantity"": 5, ""unit_price"": 2707, ""sku"": ""SKU-SAAS-001""}, {""description"": ""Annual Sub Product 6"", ""quantity"": 3, ""unit_price"": 1373, ""sku"": ""SKU-SAAS-006""}]",Thank you for your business.,https://paytm.me/finai/inv-202603-0024
INV-202603-0025,Saas Client 9,29AABCU0009R1ZC,2026-03-03,2026-04-02,sent,22446,18.0,4040.28,26486.28,"[{""description"": ""Setup Fee Product 5"", ""quantity"": 3, ""unit_price"": 313, ""sku"": ""SKU-SAAS-005""}, {""description"": ""Annual Sub Product 6"", ""quantity"": 5, ""unit_price"": 1373, ""sku"": ""SKU-SAAS-006""}, {""description"": ""Monthly Sub Flagship (Hero)"", ""quantity"": 1, ""unit_price"": 2707, ""sku"": ""SKU-SAAS-001""}, {""description"": ""Add-on Product 3"", ""quantity"": 5, ""unit_price"": 2387, ""sku"": ""SKU-SAAS-003""}]",Thank you for your business.,https://paytm.me/finai/inv-202603-0025
INV-202602-0026,Saas Client 9,29AABCU0009R1ZC,2026-02-03,2026-03-05,sent,8121,18.0,1461.78,9582.78,"[{""description"": ""Monthly Sub Flagship (Hero)"", ""quantity"": 3, ""unit_price"": 2707, ""sku"": ""SKU-SAAS-001""}]",Thank you for your business.,https://paytm.me/finai/inv-202602-0026
INV-202601-0027,Saas Client 4,29AABCU0004R1ZC,2026-01-12,2026-02-26,draft,78945,18.0,14210.1,93155.1,"[{""description"": ""Add-on Product 3"", ""quantity"": 10, ""unit_price"": 2387, ""sku"": ""SKU-SAAS-003""}, {""description"": ""Setup Fee Product 5"", ""quantity"": 3, ""unit_price"": 313, ""sku"": ""SKU-SAAS-005""}, {""description"": ""Monthly Sub Product 2"", ""quantity"": 7, ""unit_price"": 1933, ""sku"": ""SKU-SAAS-002""}, {""description"": ""Monthly Sub Flagship (Hero)"", ""quantity"": 6, ""unit_price"": 2707, ""sku"": ""SKU-SAAS-001""}, {""description"": ""Monthly Sub Flagship (Hero)"", ""quantity"": 9, ""unit_price"": 2707, ""sku"": ""SKU-SAAS-001""}]",Thank you for your business.,https://paytm.me/finai/inv-202601-0027
INV-202601-0028,Saas Client 10,29AABCU0010R1ZB,2026-01-09,2026-01-24,draft,8199,18.0,1475.82,9674.82,"[{""description"": ""Monthly Sub Flagship (Hero)"", ""quantity"": 1, ""unit_price"": 2707, ""sku"": ""SKU-SAAS-001""}, {""description"": ""Annual Sub Product 6"", ""quantity"": 4, ""unit_price"": 1373, ""sku"": ""SKU-SAAS-006""}]",Thank you for your business.,https://paytm.me/finai/inv-202601-0028
INV-202601-0029,Saas Client 12,29AABCU0012R1ZB,2026-01-28,2026-03-29,sent,43825,18.0,7888.5,51713.5,"[{""description"": ""Annual Sub Product 8"", ""quantity"": 9, ""unit_price"": 600, ""sku"": ""SKU-SAAS-008""}, {""description"": ""Setup Fee Product 5"", ""quantity"": 10, ""unit_price"": 313, ""sku"": ""SKU-SAAS-005""}, {""description"": ""Add-on Product 3"", ""quantity"": 5, ""unit_price"": 2387, ""sku"": ""SKU-SAAS-003""}, {""description"": ""Annual Sub Product 4"", ""quantity"": 8, ""unit_price"": 2920, ""sku"": ""SKU-SAAS-004""}]",Thank you for your business.,https://paytm.me/finai/inv-202601-0029
INV-202601-0030,Saas Client 9,29AABCU0009R1ZC,2026-01-31,2026-03-02,paid,59081,18.0,10634.58,69715.58,"[{""description"": ""Setup Fee Product 7"", ""quantity"": 10, ""unit_price"": 1640, ""sku"": ""SKU-SAAS-007""}, {""description"": ""Monthly Sub Flagship (Hero)"", ""quantity"": 10, ""unit_price"": 2707, ""sku"": ""SKU-SAAS-001""}, {""description"": ""Annual Sub Product 8"", ""quantity"": 10, ""unit_price"": 600, ""sku"": ""SKU-SAAS-008""}, {""description"": ""Annual Sub Product 6"", ""quantity"": 7, ""unit_price"": 1373, ""sku"": ""SKU-SAAS-006""}]",Thank you for your business.,https://paytm.me/finai/inv-202601-0030
INV-202512-0031,Saas Client 4,29AABCU0004R1ZC,2025-12-21,2026-02-04,overdue,2920,18.0,525.6,3445.6,"[{""description"": ""Annual Sub Product 4"", ""quantity"": 1, ""unit_price"": 2920, ""sku"": ""SKU-SAAS-004""}]",Thank you for your business.,https://paytm.me/finai/inv-202512-0031
INV-202512-0032,Saas Client 6,29AABCU0006R1ZB,2025-12-30,2026-01-14,sent,33331,18.0,5999.58,39330.58,"[{""description"": ""Annual Sub Product 6"", ""quantity"": 9, ""unit_price"": 1373, ""sku"": ""SKU-SAAS-006""}, {""description"": ""Add-on Product 3"", ""quantity"": 8, ""unit_price"": 2387, ""sku"": ""SKU-SAAS-003""}, {""description"": ""Setup Fee Product 5"", ""quantity"": 6, ""unit_price"": 313, ""sku"": ""SKU-SAAS-005""}]",Thank you for your business.,https://paytm.me/finai/inv-202512-0032
INV-202601-0033,Saas Client 14,29AABCU0014R1ZC,2026-01-09,2026-03-10,draft,2387,18.0,429.66,2816.66,"[{""description"": ""Add-on Product 3"", ""quantity"": 1, ""unit_price"": 2387, ""sku"": ""SKU-SAAS-003""}]",Thank you for your business.,https://paytm.me/finai/inv-202601-0033
INV-202601-0034,Saas Client 13,29AABCU0013R1ZA,2026-01-16,2026-01-31,draft,44453,18.0,8001.54,52454.54,"[{""description"": ""Annual Sub Product 4"", ""quantity"": 10, ""unit_price"": 2920, ""sku"": ""SKU-SAAS-004""}, {""description"": ""Monthly Sub Product 2"", ""quantity"": 1, ""unit_price"": 1933, ""sku"": ""SKU-SAAS-002""}, {""description"": ""Annual Sub Product 4"", ""quantity"": 4, ""unit_price"": 2920, ""sku"": ""SKU-SAAS-004""}, {""description"": ""Setup Fee Product 7"", ""quantity"": 1, ""unit_price"": 1640, ""sku"": ""SKU-SAAS-007""}]",Thank you for your business.,https://paytm.me/finai/inv-202601-0034
INV-202602-0035,Saas Client 7,29AABCU0007R1ZA,2026-02-24,2026-03-26,sent,29200,18.0,5256.0,34456.0,"[{""description"": ""Annual Sub Product 4"", ""quantity"": 10, ""unit_price"": 2920, ""sku"": ""SKU-SAAS-004""}]",Thank you for your business.,https://paytm.me/finai/inv-202602-0035
INV-202602-0036,Saas Client 2,29AABCU0002R1ZB,2026-02-06,2026-04-07,paid,17104,18.0,3078.72,20182.72,"[{""description"": ""Annual Sub Product 4"", ""quantity"": 5, ""unit_price"": 2920, ""sku"": ""SKU-SAAS-004""}, {""description"": ""Setup Fee Product 5"", ""quantity"": 8, ""unit_price"": 313, ""sku"": ""SKU-SAAS-005""}]",Thank you for your business.,https://paytm.me/finai/inv-202602-0036
INV-202603-0037,Saas Client 4,29AABCU0004R1ZC,2026-03-15,2026-04-29,paid,2746,18.0,494.28,3240.28,"[{""description"": ""Annual Sub Product 6"", ""quantity"": 2, ""unit_price"": 1373, ""sku"": ""SKU-SAAS-006""}]",Thank you for your business.,https://paytm.me/finai/inv-202603-0037
INV-202602-0038,Saas Client 9,29AABCU0009R1ZC,2026-02-04,2026-03-06,paid,14322,18.0,2577.96,16899.96,"[{""description"": ""Add-on Product 3"", ""quantity"": 6, ""unit_price"": 2387, ""sku"": ""SKU-SAAS-003""}]",Thank you for your business.,https://paytm.me/finai/inv-202602-0038
INV-202603-0039,Saas Client 9,29AABCU0009R1ZC,2026-03-02,2026-04-01,sent,10862,18.0,1955.16,12817.16,"[{""description"": ""Monthly Sub Product 2"", ""quantity"": 4, ""unit_price"": 1933, ""sku"": ""SKU-SAAS-002""}, {""description"": ""Setup Fee Product 5"", ""quantity"": 10, ""unit_price"": 313, ""sku"": ""SKU-SAAS-005""}]",Thank you for your business.,https://paytm.me/finai/inv-202603-0039
INV-202512-0040,Saas Client 14,29AABCU0014R1ZC,2025-12-28,2026-02-26,paid,13932,18.0,2507.76,16439.76,"[{""description"": ""Annual Sub Product 8"", ""quantity"": 1, ""unit_price"": 600, ""sku"": ""SKU-SAAS-008""}, {""description"": ""Setup Fee Product 5"", ""quantity"": 8, ""unit_price"": 313, ""sku"": ""SKU-SAAS-005""}, {""description"": ""Monthly Sub Flagship (Hero)"", ""quantity"": 4, ""unit_price"": 2707, ""sku"": ""SKU-SAAS-001""}]",Thank you for your business.,https://paytm.me/finai/inv-202512-0040
