date,description,amount,type,category,merchant
2024-10-20,Daily Sales Settlement,130313.96,credit,Sales Revenue,Payment Gateway
2024-10-20,Supplier Payment / Overheads,20551.17766634221,debit,Marketing,Various Vendors
2024-10-21,Daily Sales Settlement,157027.42,credit,Sales Revenue,Payment Gateway
2024-10-22,Daily Sales Settlement,139650.63,credit,Sales Revenue,Payment Gateway
2024-10-23,Daily Sales Settlement,137435.04,credit,Sales Revenue,Payment Gateway
2024-10-24,Daily Sales Settlement,182752.6,credit,Sales Revenue,Payment Gateway
2024-10-25,Daily Sales Settlement,173828.52,credit,Sales Revenue,Payment Gateway
2024-10-25,Supplier Payment / Overheads,36145.70914001926,debit,Payroll,Various Vendors
2024-10-26,Daily Sales Settlement,158859.39,credit,Sales Revenue,Payment Gateway
2024-10-26,Supplier Payment / Overheads,23327.39735710776,debit,Rent,Various Vendors
2024-10-27,Daily Sales Settlement,155103.78,credit,Sales Revenue,Payment Gateway
2024-10-28,Daily Sales Settlement,146281.68,credit,Sales Revenue,Payment Gateway
2024-10-29,Daily Sales Settlement,136456.93,credit,Sales Revenue,Payment Gateway
2024-10-29,Supplier Payment / Overheads,16139.804300252385,debit,Marketing,Various Vendors
2024-10-30,Daily Sales Settlement,152676.49,credit,Sales Revenue,Payment Gateway
2024-10-30,Supplier Payment / Overheads,31793.934565715554,debit,Rent,Various Vendors
2024-10-31,Daily Sales Settlement,147623.48,credit,Sales Revenue,Payment Gateway
2024-11-01,Daily Sales Settlement,147472.13,credit,Sales Revenue,Payment Gateway
2024-11-01,Supplier Payment / Overheads,20194.142315048142,debit,COGS,Various Vendors
2024-11-02,Daily Sales Settlement,177795.75,credit,Sales Revenue,Payment Gateway
2024-11-02,Supplier Payment / Overheads,31086.65186390951,debit,COGS,Various Vendors
2024-11-03,Daily Sales Settlement,164666.22,credit,Sales Revenue,Payment Gateway
2024-11-04,Daily Sales Settlement,134999.03,credit,Sales Revenue,Payment Gateway
2024-11-05,Daily Sales Settlement,147937.2,credit,Sales Revenue,Payment Gateway
2024-11-06,Daily Sales Settlement,145098.29,credit,Sales Revenue,Payment Gateway
2024-11-07,Daily Sales Settlement,176365.35,credit,Sales Revenue,Payment Gateway
2024-11-08,Daily Sales Settlement,142658.44,credit,Sales Revenue,Payment Gateway
2024-11-09,Daily Sales Settlement,141205.6,credit,Sales Revenue,Payment Gateway
2024-11-10,Daily Sales Settlement,152481.49,credit,Sales Revenue,Payment Gateway
2024-11-10,Supplier Payment / Overheads,30596.763753774903,debit,Payroll,Various Vendors
2024-11-11,Daily Sales Settlement,164371.2,credit,Sales Revenue,Payment Gateway
2024-11-12,Daily Sales Settlement,176551.77,credit,Sales Revenue,Payment Gateway
2024-11-13,Daily Sales Settlement,124740.83,credit,Sales Revenue,Payment Gateway
2024-11-13,Supplier Payment / Overheads,20649.862321601948,debit,COGS,Various Vendors
2024-11-14,Daily Sales Settlement,129829.5,credit,Sales Revenue,Payment Gateway
2024-11-15,Daily Sales Settlement,174084.88,credit,Sales Revenue,Payment Gateway
2024-11-16,Daily Sales Settlement,180262.74,credit,Sales Revenue,Payment Gateway
2024-11-16,Supplier Payment / Overheads,24947.697822263504,debit,Rent,Various Vendors
2024-11-17,Daily Sales Settlement,169944.73,credit,Sales Revenue,Payment Gateway
2024-11-18,Daily Sales Settlement,168091.22,credit,Sales Revenue,Payment Gateway
2024-11-19,Daily Sales Settlement,181305.76,credit,Sales Revenue,Payment Gateway
2024-11-19,Supplier Payment / Overheads,31732.066894909003,debit,COGS,Various Vendors
2024-11-20,Daily Sales Settlement,148325.96,credit,Sales Revenue,Payment Gateway
2024-11-21,Daily Sales Settlement,151661.17,credit,Sales Revenue,Payment Gateway
2024-11-21,Supplier Payment / Overheads,28727.03429918596,debit,Rent,Various Vendors
2024-11-22,Daily Sales Settlement,177123.96,credit,Sales Revenue,Payment Gateway
2024-11-22,Supplier Payment / Overheads,28028.043259809972,debit,Rent,Various Vendors
2024-11-23,Daily Sales Settlement,181310.8,credit,Sales Revenue,Payment Gateway
2024-11-24,Daily Sales Settlement,138243.21,credit,Sales Revenue,Payment Gateway
2024-11-25,Daily Sales Settlement,184086.68,credit,Sales Revenue,Payment Gateway
2024-11-26,Daily Sales Settlement,132116.69,credit,Sales Revenue,Payment Gateway
2024-11-27,Daily Sales Settlement,150795.76,credit,Sales Revenue,Payment Gateway
2024-11-27,Supplier Payment / Overheads,33063.457676767954,debit,Marketing,Various Vendors
2024-11-28,Daily Sales Settlement,150339.81,credit,Sales Revenue,Payment Gateway
2024-11-28,Supplier Payment / Overheads,24367.31040628894,debit,Payroll,Various Vendors
2024-11-29,Daily Sales Settlement,169461.72,credit,Sales Revenue,Payment Gateway
2024-11-30,Daily Sales Settlement,128321.5,credit,Sales Revenue,Payment Gateway
2024-12-01,Daily Sales Settlement,178999.35,credit,Sales Revenue,Payment Gateway
2024-12-01,Supplier Payment / Overheads,28823.94639291401,debit,Rent,Various Vendors
2024-12-02,Daily Sales Settlement,185478.0,credit,Sales Revenue,Payment Gateway
2024-12-03,Daily Sales Settlement,130438.92,credit,Sales Revenue,Payment Gateway
2024-12-03,Supplier Payment / Overheads,23952.476047136908,debit,Payroll,Various Vendors
2024-12-04,Daily Sales Settlement,143669.15,credit,Sales Revenue,Payment Gateway
2024-12-05,Daily Sales Settlement,175503.71,credit,Sales Revenue,Payment Gateway
2024-12-06,Daily Sales Settlement,169539.4,credit,Sales Revenue,Payment Gateway
2024-12-07,Daily Sales Settlement,174234.83,credit,Sales Revenue,Payment Gateway
2024-12-08,Daily Sales Settlement,167711.94,credit,Sales Revenue,Payment Gateway
2024-12-08,Supplier Payment / Overheads,33134.71255203318,debit,COGS,Various Vendors
2024-12-09,Daily Sales Settlement,155835.86,credit,Sales Revenue,Payment Gateway
2024-12-09,Supplier Payment / Overheads,25197.04100406112,debit,Rent,Various Vendors
2024-12-10,Daily Sales Settlement,150553.51,credit,Sales Revenue,Payment Gateway
2024-12-11,Daily Sales Settlement,144609.36,credit,Sales Revenue,Payment Gateway
2024-12-11,Supplier Payment / Overheads,16337.850891133374,debit,COGS,Various Vendors
2024-12-12,Daily Sales Settlement,164584.7,credit,Sales Revenue,Payment Gateway
2024-12-13,Daily Sales Settlement,184073.7,credit,Sales Revenue,Payment Gateway
2024-12-13,Supplier Payment / Overheads,26984.5016672603,debit,Marketing,Various Vendors
2024-12-14,Daily Sales Settlement,145305.76,credit,Sales Revenue,Payment Gateway
2024-12-15,Daily Sales Settlement,167862.58,credit,Sales Revenue,Payment Gateway
2024-12-16,Daily Sales Settlement,157166.3,credit,Sales Revenue,Payment Gateway
2024-12-16,Supplier Payment / Overheads,25851.78691404166,debit,Marketing,Various Vendors
2024-12-17,Daily Sales Settlement,144794.39,credit,Sales Revenue,Payment Gateway
2024-12-18,Daily Sales Settlement,164585.13,credit,Sales Revenue,Payment Gateway
2024-12-19,Daily Sales Settlement,127160.21,credit,Sales Revenue,Payment Gateway
2024-12-20,Daily Sales Settlement,166732.4,credit,Sales Revenue,Payment Gateway
2024-12-20,Supplier Payment / Overheads,35550.559806234196,debit,COGS,Various Vendors
2024-12-21,Daily Sales Settlement,159974.89,credit,Sales Revenue,Payment Gateway
2024-12-22,Daily Sales Settlement,139775.76,credit,Sales Revenue,Payment Gateway
2024-12-23,Daily Sales Settlement,157409.28,credit,Sales Revenue,Payment Gateway
2024-12-24,Daily Sales Settlement,163283.36,credit,Sales Revenue,Payment Gateway
2024-12-25,Daily Sales Settlement,175894.25,credit,Sales Revenue,Payment Gateway
2024-12-26,Daily Sales Settlement,174507.04,credit,Sales Revenue,Payment Gateway
2024-12-26,Supplier Payment / Overheads,34865.88549966391,debit,COGS,Various Vendors
2024-12-27,Daily Sales Settlement,160559.39,credit,Sales Revenue,Payment Gateway
2024-12-28,Daily Sales Settlement,188375.06,credit,Sales Revenue,Payment Gateway
2024-12-29,Daily Sales Settlement,176754.07,credit,Sales Revenue,Payment Gateway
2024-12-30,Daily Sales Settlement,158074.72,credit,Sales Revenue,Payment Gateway
2024-12-31,Daily Sales Settlement,167053.1,credit,Sales Revenue,Payment Gateway
2025-01-01,Daily Sales Settlement,195824.61,credit,Sales Revenue,Payment Gateway
2025-01-02,Daily Sales Settlement,196337.63,credit,Sales Revenue,Payment Gateway
2025-01-03,Daily Sales Settlement,196881.75,credit,Sales Revenue,Payment Gateway
2025-01-04,Daily Sales Settlement,150430.17,credit,Sales Revenue,Payment Gateway
2025-01-04,Supplier Payment / Overheads,21941.847656914182,debit,Rent,Various Vendors
2025-01-05,Daily Sales Settlement,150603.13,credit,Sales Revenue,Payment Gateway
2025-01-05,Supplier Payment / Overheads,29376.271554435596,debit,Payroll,Various Vendors
2025-01-06,Daily Sales Settlement,185062.23,credit,Sales Revenue,Payment Gateway
2025-01-07,Daily Sales Settlement,187927.5,credit,Sales Revenue,Payment Gateway
2025-01-08,Daily Sales Settlement,160595.72,credit,Sales Revenue,Payment Gateway
2025-01-08,Supplier Payment / Overheads,30492.243945160553,debit,COGS,Various Vendors
2025-01-09,Daily Sales Settlement,165583.47,credit,Sales Revenue,Payment Gateway
2025-01-10,Daily Sales Settlement,191369.34,credit,Sales Revenue,Payment Gateway
2025-01-11,Daily Sales Settlement,150534.21,credit,Sales Revenue,Payment Gateway
2025-01-12,Daily Sales Settlement,200457.73,credit,Sales Revenue,Payment Gateway
2025-01-13,Daily Sales Settlement,204557.99,credit,Sales Revenue,Payment Gateway
2025-01-14,Daily Sales Settlement,181530.78,credit,Sales Revenue,Payment Gateway
2025-01-15,Daily Sales Settlement,150257.56,credit,Sales Revenue,Payment Gateway
2025-01-16,Daily Sales Settlement,151471.19,credit,Sales Revenue,Payment Gateway
2025-01-17,Daily Sales Settlement,194898.56,credit,Sales Revenue,Payment Gateway
2025-01-18,Daily Sales Settlement,159746.47,credit,Sales Revenue,Payment Gateway
2025-01-18,Supplier Payment / Overheads,35332.236575778625,debit,Marketing,Various Vendors
2025-01-19,Daily Sales Settlement,152596.41,credit,Sales Revenue,Payment Gateway
2025-01-20,Daily Sales Settlement,191642.79,credit,Sales Revenue,Payment Gateway
2025-01-21,Daily Sales Settlement,206586.38,credit,Sales Revenue,Payment Gateway
2025-01-21,Supplier Payment / Overheads,28683.044440766924,debit,Payroll,Various Vendors
2025-01-22,Daily Sales Settlement,186206.15,credit,Sales Revenue,Payment Gateway
2025-01-22,Supplier Payment / Overheads,28876.268003506317,debit,COGS,Various Vendors
2025-01-23,Daily Sales Settlement,149711.8,credit,Sales Revenue,Payment Gateway
2025-01-23,Supplier Payment / Overheads,21750.988951659965,debit,Payroll,Various Vendors
2025-01-24,Daily Sales Settlement,169508.77,credit,Sales Revenue,Payment Gateway
2025-01-24,Supplier Payment / Overheads,30922.93393655799,debit,Rent,Various Vendors
2025-01-25,Daily Sales Settlement,162044.37,credit,Sales Revenue,Payment Gateway
2025-01-25,Supplier Payment / Overheads,17968.066507688014,debit,COGS,Various Vendors
2025-01-26,Daily Sales Settlement,157852.84,credit,Sales Revenue,Payment Gateway
2025-01-26,Supplier Payment / Overheads,30924.699111129925,debit,Payroll,Various Vendors
2025-01-27,Daily Sales Settlement,142575.74,credit,Sales Revenue,Payment Gateway
2025-01-28,Daily Sales Settlement,193114.16,credit,Sales Revenue,Payment Gateway
2025-01-29,Daily Sales Settlement,188794.56,credit,Sales Revenue,Payment Gateway
2025-01-29,Supplier Payment / Overheads,35356.13401860142,debit,Marketing,Various Vendors
2025-01-30,Daily Sales Settlement,182559.23,credit,Sales Revenue,Payment Gateway
2025-01-31,Daily Sales Settlement,194617.69,credit,Sales Revenue,Payment Gateway
2025-02-01,Daily Sales Settlement,142574.41,credit,Sales Revenue,Payment Gateway
2025-02-02,Daily Sales Settlement,193035.02,credit,Sales Revenue,Payment Gateway
2025-02-03,Daily Sales Settlement,170189.39,credit,Sales Revenue,Payment Gateway
2025-02-04,Daily Sales Settlement,167061.93,credit,Sales Revenue,Payment Gateway
2025-02-05,Daily Sales Settlement,143201.86,credit,Sales Revenue,Payment Gateway
2025-02-06,Daily Sales Settlement,146685.4,credit,Sales Revenue,Payment Gateway
2025-02-07,Daily Sales Settlement,201013.45,credit,Sales Revenue,Payment Gateway
2025-02-07,Supplier Payment / Overheads,33461.93973902228,debit,Marketing,Various Vendors
2025-02-08,Daily Sales Settlement,179712.36,credit,Sales Revenue,Payment Gateway
2025-02-09,Daily Sales Settlement,162585.58,credit,Sales Revenue,Payment Gateway
2025-02-09,Supplier Payment / Overheads,25113.916306567884,debit,Marketing,Various Vendors
2025-02-10,Daily Sales Settlement,179558.94,credit,Sales Revenue,Payment Gateway
2025-02-11,Daily Sales Settlement,211009.28,credit,Sales Revenue,Payment Gateway
2025-02-11,Supplier Payment / Overheads,39901.283009461346,debit,Rent,Various Vendors
2025-02-12,Daily Sales Settlement,189512.97,credit,Sales Revenue,Payment Gateway
2025-02-12,Supplier Payment / Overheads,36179.698517541605,debit,Marketing,Various Vendors
2025-02-13,Daily Sales Settlement,196461.46,credit,Sales Revenue,Payment Gateway
2025-02-14,Daily Sales Settlement,157835.48,credit,Sales Revenue,Payment Gateway
2025-02-15,Daily Sales Settlement,206103.99,credit,Sales Revenue,Payment Gateway
2025-02-15,Supplier Payment / Overheads,31237.577249591268,debit,COGS,Various Vendors
2025-02-16,Daily Sales Settlement,197308.69,credit,Sales Revenue,Payment Gateway
2025-02-17,Daily Sales Settlement,152194.59,credit,Sales Revenue,Payment Gateway
2025-02-18,Daily Sales Settlement,175357.94,credit,Sales Revenue,Payment Gateway
2025-02-18,Supplier Payment / Overheads,22989.640178279118,debit,Payroll,Various Vendors
2025-02-19,Daily Sales Settlement,175875.46,credit,Sales Revenue,Payment Gateway
2025-02-20,Daily Sales Settlement,203436.82,credit,Sales Revenue,Payment Gateway
2025-02-20,Supplier Payment / Overheads,36997.63999861544,debit,COGS,Various Vendors
2025-02-21,Daily Sales Settlement,174987.31,credit,Sales Revenue,Payment Gateway
2025-02-21,Supplier Payment / Overheads,37666.19766502384,debit,COGS,Various Vendors
2025-02-22,Daily Sales Settlement,210081.77,credit,Sales Revenue,Payment Gateway
2025-02-23,Daily Sales Settlement,208749.13,credit,Sales Revenue,Payment Gateway
2025-02-24,Daily Sales Settlement,172233.99,credit,Sales Revenue,Payment Gateway
2025-02-24,Supplier Payment / Overheads,32890.2499572149,debit,Payroll,Various Vendors
2025-02-25,Daily Sales Settlement,193163.05,credit,Sales Revenue,Payment Gateway
2025-02-26,Daily Sales Settlement,147805.94,credit,Sales Revenue,Payment Gateway
2025-02-27,Daily Sales Settlement,176951.78,credit,Sales Revenue,Payment Gateway
2025-02-28,Daily Sales Settlement,197027.86,credit,Sales Revenue,Payment Gateway
2025-03-01,Daily Sales Settlement,140157.55,credit,Sales Revenue,Payment Gateway
2025-03-02,Daily Sales Settlement,171776.28,credit,Sales Revenue,Payment Gateway
2025-03-03,Daily Sales Settlement,146894.76,credit,Sales Revenue,Payment Gateway
2025-03-04,Daily Sales Settlement,132009.58,credit,Sales Revenue,Payment Gateway
2025-03-05,Daily Sales Settlement,190842.39,credit,Sales Revenue,Payment Gateway
2025-03-06,Daily Sales Settlement,155889.78,credit,Sales Revenue,Payment Gateway
2025-03-06,Supplier Payment / Overheads,27842.52195991245,debit,Rent,Various Vendors
2025-03-07,Daily Sales Settlement,166434.79,credit,Sales Revenue,Payment Gateway
2025-03-08,Daily Sales Settlement,184046.03,credit,Sales Revenue,Payment Gateway
2025-03-09,Daily Sales Settlement,155321.12,credit,Sales Revenue,Payment Gateway
2025-03-09,Supplier Payment / Overheads,22257.543071476197,debit,COGS,Various Vendors
2025-03-10,Daily Sales Settlement,148105.32,credit,Sales Revenue,Payment Gateway
2025-03-10,Supplier Payment / Overheads,23934.363814954326,debit,Marketing,Various Vendors
2025-03-11,Daily Sales Settlement,173695.81,credit,Sales Revenue,Payment Gateway
2025-03-12,Daily Sales Settlement,173152.39,credit,Sales Revenue,Payment Gateway
2025-03-13,Daily Sales Settlement,137290.17,credit,Sales Revenue,Payment Gateway
2025-03-14,Daily Sales Settlement,164701.18,credit,Sales Revenue,Payment Gateway
2025-03-15,Daily Sales Settlement,171533.12,credit,Sales Revenue,Payment Gateway
2025-03-16,Daily Sales Settlement,178719.49,credit,Sales Revenue,Payment Gateway
2025-03-17,Daily Sales Settlement,188979.37,credit,Sales Revenue,Payment Gateway
2025-03-18,Daily Sales Settlement,144329.85,credit,Sales Revenue,Payment Gateway
2025-03-19,Daily Sales Settlement,147096.49,credit,Sales Revenue,Payment Gateway
2025-03-19,Supplier Payment / Overheads,31941.218354332617,debit,Rent,Various Vendors
2025-03-20,Daily Sales Settlement,165883.98,credit,Sales Revenue,Payment Gateway
2025-03-21,Daily Sales Settlement,142257.19,credit,Sales Revenue,Payment Gateway
2025-03-22,Daily Sales Settlement,134665.11,credit,Sales Revenue,Payment Gateway
2025-03-22,Supplier Payment / Overheads,27243.32675821396,debit,COGS,Various Vendors
2025-03-23,Daily Sales Settlement,154692.46,credit,Sales Revenue,Payment Gateway
2025-03-24,Daily Sales Settlement,162301.54,credit,Sales Revenue,Payment Gateway
2025-03-24,Supplier Payment / Overheads,31493.32791611162,debit,Payroll,Various Vendors
2025-03-25,Daily Sales Settlement,174967.03,credit,Sales Revenue,Payment Gateway
2025-03-25,Supplier Payment / Overheads,26529.31295933286,debit,COGS,Various Vendors
2025-03-26,Daily Sales Settlement,144171.12,credit,Sales Revenue,Payment Gateway
2025-03-27,Daily Sales Settlement,133714.24,credit,Sales Revenue,Payment Gateway
2025-03-27,Supplier Payment / Overheads,22210.333195489122,debit,Marketing,Various Vendors
2025-03-28,Daily Sales Settlement,167614.52,credit,Sales Revenue,Payment Gateway
2025-03-29,Daily Sales Settlement,141431.56,credit,Sales Revenue,Payment Gateway
2025-03-29,Supplier Payment / Overheads,22675.08485154286,debit,COGS,Various Vendors
2025-03-30,Daily Sales Settlement,146406.14,credit,Sales Revenue,Payment Gateway
2025-03-31,Daily Sales Settlement,158864.64,credit,Sales Revenue,Payment Gateway
2025-03-31,Supplier Payment / Overheads,29993.68486109226,debit,Rent,Various Vendors
2025-04-01,Daily Sales Settlement,172486.69,credit,Sales Revenue,Payment Gateway
2025-04-01,Supplier Payment / Overheads,39601.83896339785,debit,COGS,Various Vendors
2025-04-02,Daily Sales Settlement,162748.4,credit,Sales Revenue,Payment Gateway
2025-04-03,Daily Sales Settlement,144399.03,credit,Sales Revenue,Payment Gateway
2025-04-03,Supplier Payment / Overheads,30942.17297197847,debit,COGS,Various Vendors
2025-04-04,Daily Sales Settlement,187463.85,credit,Sales Revenue,Payment Gateway
2025-04-04,Supplier Payment / Overheads,35320.13479909348,debit,Rent,Various Vendors
2025-04-05,Daily Sales Settlement,165396.33,credit,Sales Revenue,Payment Gateway
2025-04-06,Daily Sales Settlement,158978.06,credit,Sales Revenue,Payment Gateway
2025-04-07,Daily Sales Settlement,187095.01,credit,Sales Revenue,Payment Gateway
2025-04-07,Supplier Payment / Overheads,23245.569974992402,debit,COGS,Various Vendors
2025-04-08,Daily Sales Settlement,182023.58,credit,Sales Revenue,Payment Gateway
2025-04-09,Daily Sales Settlement,198422.15,credit,Sales Revenue,Payment Gateway
2025-04-10,Daily Sales Settlement,197361.27,credit,Sales Revenue,Payment Gateway
2025-04-10,Supplier Payment / Overheads,37885.11543601223,debit,COGS,Various Vendors
2025-04-11,Daily Sales Settlement,138050.63,credit,Sales Revenue,Payment Gateway
2025-04-11,Supplier Payment / Overheads,16202.987089144863,debit,Rent,Various Vendors
2025-04-12,Daily Sales Settlement,152012.21,credit,Sales Revenue,Payment Gateway
2025-04-13,Daily Sales Settlement,161285.49,credit,Sales Revenue,Payment Gateway
2025-04-13,Supplier Payment / Overheads,26413.131983843585,debit,Rent,Various Vendors
2025-04-14,Daily Sales Settlement,142093.41,credit,Sales Revenue,Payment Gateway
2025-04-15,Daily Sales Settlement,197671.33,credit,Sales Revenue,Payment Gateway
2025-04-15,Supplier Payment / Overheads,30452.192532726578,debit,Payroll,Various Vendors
2025-04-16,Daily Sales Settlement,175735.61,credit,Sales Revenue,Payment Gateway
2025-04-17,Daily Sales Settlement,189412.53,credit,Sales Revenue,Payment Gateway
2025-04-18,Daily Sales Settlement,190286.53,credit,Sales Revenue,Payment Gateway
2025-04-18,Supplier Payment / Overheads,36621.578608297204,debit,COGS,Various Vendors
2025-04-19,Daily Sales Settlement,174318.52,credit,Sales Revenue,Payment Gateway
2025-04-20,Daily Sales Settlement,148372.82,credit,Sales Revenue,Payment Gateway
2025-04-21,Daily Sales Settlement,194320.87,credit,Sales Revenue,Payment Gateway
2025-04-22,Daily Sales Settlement,154996.29,credit,Sales Revenue,Payment Gateway
2025-04-23,Daily Sales Settlement,183243.14,credit,Sales Revenue,Payment Gateway
2025-04-24,Daily Sales Settlement,168008.5,credit,Sales Revenue,Payment Gateway
2025-04-25,Daily Sales Settlement,174413.79,credit,Sales Revenue,Payment Gateway
2025-04-25,Supplier Payment / Overheads,28547.32989644229,debit,Payroll,Various Vendors
2025-04-26,Daily Sales Settlement,187460.64,credit,Sales Revenue,Payment Gateway
2025-04-27,Daily Sales Settlement,161554.66,credit,Sales Revenue,Payment Gateway
2025-04-28,Daily Sales Settlement,174156.77,credit,Sales Revenue,Payment Gateway
2025-04-29,Daily Sales Settlement,156091.36,credit,Sales Revenue,Payment Gateway
2025-04-29,Supplier Payment / Overheads,32150.64740273318,debit,Marketing,Various Vendors
2025-04-30,Daily Sales Settlement,163593.19,credit,Sales Revenue,Payment Gateway
2025-05-01,Daily Sales Settlement,170040.72,credit,Sales Revenue,Payment Gateway
2025-05-02,Daily Sales Settlement,170587.85,credit,Sales Revenue,Payment Gateway
2025-05-03,Daily Sales Settlement,141938.9,credit,Sales Revenue,Payment Gateway
2025-05-03,Supplier Payment / Overheads,17461.138776208558,debit,Rent,Various Vendors
2025-05-04,Daily Sales Settlement,175589.51,credit,Sales Revenue,Payment Gateway
2025-05-05,Daily Sales Settlement,171470.3,credit,Sales Revenue,Payment Gateway
2025-05-06,Daily Sales Settlement,191736.14,credit,Sales Revenue,Payment Gateway
2025-05-06,Supplier Payment / Overheads,44721.10137079509,debit,COGS,Various Vendors
2025-05-07,Daily Sales Settlement,184204.06,credit,Sales Revenue,Payment Gateway
2025-05-08,Daily Sales Settlement,136343.57,credit,Sales Revenue,Payment Gateway
2025-05-08,Supplier Payment / Overheads,26402.424088985437,debit,Payroll,Various Vendors
2025-05-09,Daily Sales Settlement,163307.78,credit,Sales Revenue,Payment Gateway
2025-05-09,Supplier Payment / Overheads,28602.082644904156,debit,COGS,Various Vendors
2025-05-10,Daily Sales Settlement,151841.71,credit,Sales Revenue,Payment Gateway
2025-05-11,Daily Sales Settlement,159639.32,credit,Sales Revenue,Payment Gateway
2025-05-12,Daily Sales Settlement,138982.13,credit,Sales Revenue,Payment Gateway
2025-05-13,Daily Sales Settlement,142125.35,credit,Sales Revenue,Payment Gateway
2025-05-13,Supplier Payment / Overheads,23340.609831107016,debit,Rent,Various Vendors
2025-05-14,Daily Sales Settlement,192965.35,credit,Sales Revenue,Payment Gateway
2025-05-15,Daily Sales Settlement,158500.25,credit,Sales Revenue,Payment Gateway
2025-05-16,Daily Sales Settlement,148380.91,credit,Sales Revenue,Payment Gateway
2025-05-17,Daily Sales Settlement,142545.35,credit,Sales Revenue,Payment Gateway
2025-05-18,Daily Sales Settlement,147117.65,credit,Sales Revenue,Payment Gateway
2025-05-19,Daily Sales Settlement,136983.28,credit,Sales Revenue,Payment Gateway
2025-05-19,Supplier Payment / Overheads,31473.362829769147,debit,COGS,Various Vendors
2025-05-20,Daily Sales Settlement,158540.67,credit,Sales Revenue,Payment Gateway
2025-05-21,Daily Sales Settlement,170356.92,credit,Sales Revenue,Payment Gateway
2025-05-22,Daily Sales Settlement,180373.55,credit,Sales Revenue,Payment Gateway
2025-05-23,Daily Sales Settlement,179012.22,credit,Sales Revenue,Payment Gateway
2025-05-24,Daily Sales Settlement,203284.78,credit,Sales Revenue,Payment Gateway
2025-05-25,Daily Sales Settlement,191338.08,credit,Sales Revenue,Payment Gateway
2025-05-26,Daily Sales Settlement,152854.23,credit,Sales Revenue,Payment Gateway
2025-05-27,Daily Sales Settlement,162591.06,credit,Sales Revenue,Payment Gateway
2025-05-27,Supplier Payment / Overheads,28560.464668943445,debit,Payroll,Various Vendors
2025-05-28,Daily Sales Settlement,175600.63,credit,Sales Revenue,Payment Gateway
2025-05-28,Supplier Payment / Overheads,28341.086251908386,debit,Marketing,Various Vendors
2025-05-29,Daily Sales Settlement,150022.3,credit,Sales Revenue,Payment Gateway
2025-05-30,Daily Sales Settlement,179827.44,credit,Sales Revenue,Payment Gateway
